"","x"
"1",0.152888825
"2",0.176539959
"3",0.298718365
"4",0.141546964
"5",0.128494141
"6",0.235911255
"7",0.134144713
"8",0.199248912
"9",0.745146233
"10",0.338596379
"11",0.297473449
"12",0.422230919
"13",0.256627118
"14",0.354390962
"15",0.337499149
"16",0.206563343
"17",0.289252048
"18",0.129214017
"19",0.386683448
"20",0.202938564
"21",0.309993698
"22",0.190197912
"23",0.177587537
"24",0.354128985
"25",0.456027679
"26",0.475933349
"27",0.441979659
"28",0.585833316
"29",0.51846818
"30",0.719432464
"31",0.574319826
"32",0.222141217
"33",0.477489874
"34",0.284727193
"35",0.328304036
"36",0.435424386
"37",0.37001239
"38",0.179147517
"39",0.124086992
"40",0.496535952
"41",0.213191532
"42",0.408610347
"43",0.731071509
"44",0.150440839
"45",0.320295523
"46",0.670170786
"47",0.542253639
"48",0.069450234
"49",0.282108344
"50",0.391688427
"51",0.185256367
"52",0.958953271
"53",0.794778595
"54",1.062386877
"55",0.959631112
"56",0.478654015
"57",0.134834438
"58",1.039616923
"59",0.403585166
"60",0.517931701
"61",0.284075212
"62",0.329995474
"63",0.633748955
"64",0.623121172
"65",0.553093296
"66",0.82546486
"67",0.572864744
"68",0.459674155
"69",0.640735695
"70",0.104619835
"71",0.535541515
"72",0.169571255
"73",0.401742126
"74",0.328304388
"75",0.59009275
"76",0.332236307
"77",0.406334104
"78",0.441559515
"79",0.145424915
"80",0.05778618
"81",0.289251676
"82",0.218350949
"83",0.489953711
"84",0.626387662
"85",0.789627715
"86",0.718916789
"87",0.674447896
"88",0.529093857
"89",0.348051902
"90",0.576898487
"91",0.65306707
"92",0.523630973
"93",0.206562486
"94",0.110652493
"95",0.488437135
"96",0.370763798
"97",0.332515693
"98",0.2335404
"99",0.488437283
"100",0.364964325
"101",0.283420934
"102",0.602691036
"103",0.584724206
"104",0.306382215
"105",0.880805995
"106",0.838509435
"107",1.102491501
"108",0.87010473
"109",2.647712899
"110",2.004043467
"111",1.092518302
"112",0.987921187
"113",0.120291889
"114",0.418701631
"115",0.878697518
"116",1.493649961
"117",0.690485444
"118",0.773007592
"119",0.462690427
"120",0.341596674
"121",1.654746584
"122",0.942957569
"123",0.43924294
"124",0.695304984
"125",0.581861784
"126",0.776359926
"127",0.304560271
"128",0.275454434
"129",0.221304431
"130",0.1202918
"131",0.079419585
"132",0.276798618
"133",0.17966503
"134",0.112316283
"135",0.13483458
"136",0.24592185
"137",0.117167181
"138",0.06388536
"139",0.0681017
"140",0.05096271
"141",0.120291476
"142",0.096310365
"143",0.183748513
"144",0.06091216
"145",0.0408612
"146",0.078242942
"147",0.087212739
"148",0.030456096
"149",0.122583033
"150",0.079419408
"151",0.033362744
"152",0.391451522
"153",0.073347709
"154",0.08057917
"155",0.030456051
"156",0.062416078
"157",0.040861
"158",0.110652603
"159",0.050962683
"160",0.043071487
