"","x"
"1",0.087212895
"2",0.09034691
"3",0.062415859
"4",0.0408612
"5",0.0136204
"6",0.0272408
"7",0.043071265
"8",0.038523672
"9",0.049108995
"10",0.070773213
"11",0.088269787
"12",0.033362867
"13",0.102831394
"14",0.033362826
"15",0.087212988
"16",0.030455961
"17",0.083961363
"18",0.189219809
"19",0.033362295
"20",0.099157899
"21",0.030455961
"22",0.0136204
"23",0.033362336
"24",0.03045614
"25",0.0136204
"26",0.030455425
"27",0.030455961
"28",0.047182507
"29",0.040861267
"30",0.045173455
"31",0.03045614
"32",0.059369534
"33",0.147326338
"34",0.070773328
"35",0.049108524
"36",0.030456006
"37",0.033363153
"38",0.107246362
"39",0.134144713
"40",0.033363071
"41",0.057786746
"42",0.057786746
"43",0.087212895
"44",0.07334756
"45",0.062416296
"46",0.110651754
"47",0.023590474
"48",0.019262013
"49",0.062416318
"50",0.038524309
"51",0.073347653
"52",0.080578866
"53",0.0272407
"54",0.030455961
"55",0.08284956
"56",0.040861267
"57",0.038524167
"58",0.070773193
"59",0.073347356
"60",0.049108773
"61",0.038524309
"62",0.038524309
"63",0.045173756
"64",0.04307136
"65",0.056158299
"66",NA
"67",0.063885296
"68",0.057786369
"69",0.038524167
"70",0.040860667
"71",0.062416339
"72",0.057785827
"73",0.023590936
"74",0.033362785
"75",0.083961574
"76",0.0136203
"77",0.030456006
"78",0.033363153
"79",0.056158396
"80",0.023591571
"81",0.056158396
"82",0.10372943
"83",0.043071202
"84",0.0272408
"85",0.033363275
"86",0.06241647
"87",0.070773309
"88",0.030455827
"89",0.04910894
"90",0.063885062
"91",0.0681016
"92",0.08284956
"93",0.040861
"94",0.030455425
"95",0.069449175
"96",0.056157572
"97",0.045173545
"98",0.069450921
"99",0.091368525
"100",0.019262154
"101",0.030455872
"102",0.019261872
"103",0.045173515
"104",0.033363153
"105",0.099157899
"106",0.05096287
"107",0.04307136
"108",0.023590994
"109",0.0272408
"110",0.033363193
"111",0.074601967
"112",0.040860933
"113",0.049108884
"114",0.078243137
"115",0.066725938
"116",0.099157583
"117",0.060911833
"118",0.0408609
"119",0.023591456
"120",0.074601894
"121",0.074602076
"122",0.102831301
"123",0.033362336
"124",0.083961379
"125",0.045173364
"126",0.019262013
"127",0.069450332
"128",0.01926173
"129",0.099157679
"130",0.050962817
"131",0.060912012
"132",0.04910894
"133",0.040860933
"134",0.038523672
"135",0.06810164
"136",0.073348173
"137",0.038524238
"138",0.126309822
"139",0.091367959
"140",0.030455872
"141",0.056158154
"142",0.091367974
"143",0.086142594
"144",0.070773501
"145",0.113139203
"146",0.057785874
"147",0.062416252
"148",0.059369442
"149",0.030456319
"150",0.056157766
