"","x"
"1",0.427253124
"2",0.335016149
"3",1.461571894
"4",0.669062846
"5",0.473000712
"6",0.845559399
"7",0.56749625
"8",0.763954405
"9",0.260216099
"10",0.334184316
"11",0.187248873
"12",0.441349569
"13",0.107247087
"14",0.299648133
"15",0.265858504
"16",0.116373093
"17",0.270356253
"18",0.228318643
"19",0.06945047
"20",0.109810878
"21",0.208796028
"22",0.0972683
"23",0.091367735
"24",0.113139169
"25",0.137558952
"26",0.033363161
"27",0.137559133
"28",0.050963496
"29",0.074601525
"30",0.050962384
"31",0.096310373
"32",0.062415947
"33",0.081721867
"34",0.077048052
"35",0.179664491
"36",0.023591456
"37",0.128493876
"38",0.161732775
"39",0.077048405
"40",0.151056696
"41",0.056158202
"42",0.056158202
"43",0.113956227
"44",0.0408612
"45",0.080578984
"46",0.063885147
"47",0.045173545
"48",0.062416514
"49",NA
"50",0.113138384
"51",0.083960422
"52",0.087213285
"53",0.074601875
"54",0.080578663
"55",0.033362908
"56",0.050962362
"57",0.0681018
"58",0.062416863
"59",0.03045623
"60",0.099157404
"61",0.05096287
"62",0.063885104
"63",0.060912102
"64",0.030455872
"65",0.080578984
"66",0.060912102
"67",0.023590994
"68",0.073348247
"69",0.069450685
"70",0.047181872
"71",0.082849346
"72",0.088269802
"73",0.038524238
"74",0.057786793
"75",0.03852438
"76",0.033363153
"77",0.030456274
"78",0.079419709
"79",0.0408606
"80",0.056158881
"81",0.030456319
"82",0.086142657
"83",0.073347876
"84",0.056158057
"85",0.059369718
"86",0.117166867
"87",0.09136851
"88",0.060911744
"89",0.082849396
"90",0.045173274
"91",0.06810208
"92",0.07824345
"93",0.06810164
"94",0.079419606
"95",0.109811027
"96",0.040861267
"97",0.033362826
"98",0.045173545
"99",0.06810156
"100",0.069450293
"101",0.049109078
"102",0.033362581
"103",0.087212785
"104",0.033363153
"105",0.030455872
"106",0.056158445
"107",0.019262154
"108",0.03852438
"109",0.030455872
"110",0.05778611
"111",0.062416121
"112",0.030455961
"113",0.050962095
"114",0.019262508
"115",0.0544814
"116",0.033362989
"117",0.033362867
"118",0.045173606
"119",0.045173545
"120",0.069450528
"121",0.069450411
"122",0.027241
"123",0.045173455
"124",0.033363071
"125",0.079419623
"126",0.030455872
"127",0.047181699
"128",0.056158251
"129",0.033363193
"130",0.070773386
"131",0.038524026
"132",0.06810156
"133",0.066725979
"134",0.113139082
"135",0.12408731
"136",0.079419486
"137",0.062415925
"138",0.104619731
"139",0.063884934
"140",0.0544812
"141",0.023591514
"142",0.082850251
"143",0.102831248
"144",0.106378469
"145",0.04307136
"146",0.078242963
"147",0.069450313
"148",0.142200327
"149",0.096310376
"150",0.100088492
"151",0.316215239
"152",0.20879595
"153",0.166257498
"154",0.195488652
"155",0.187248946
"156",0.154697549
"157",0.069450313
"158",0.296223045
"159",0.174425524
"160",0.295282258
