"","x"
"1",0.083961476
"2",0.056158057
"3",0.030455425
"4",0.089314066
"5",0.07824305
"6",0.081722
"7",0.0272406
"8",0.091367974
"9",0.236696424
"10",0.198782721
"11",0.030455961
"12",0.019261872
"13",0.04307117
"14",0.030455961
"15",0.019262508
"16",0.0408613
"17",0.129213891
"18",0.056158105
"19",0.096310362
"20",0.069450411
"21",0.0136203
"22",0.05615762
"23",0.040860467
"24",0.019261094
"25",0.113139106
"26",0.030455872
"27",0.040860867
"28",0.091368242
"29",0.089314676
"30",0.049108829
"31",0.066725938
"32",0.095342429
"33",0.038523955
"34",0.03045614
"35",0.033363193
"36",0.030456319
"37",0.019262579
"38",0.038524238
"39",0.050962095
"40",0.073347727
"41",0.030455425
"42",0.060911699
"43",0.019261872
"44",0.023591514
"45",0.049108524
"46",0.106378366
"47",0.060912281
"48",0.049108829
"49",0.049108829
"50",0.045173274
"51",0.073347449
"52",0.050962362
"53",NA
"54",0.0272407
"55",0.033362663
"56",0.056158057
"57",0.056157742
"58",0.066725529
"59",0.043071297
"60",0.06945045
"61",0.134834596
"62",0.030455425
"63",0.100088655
"64",0.05778618
"65",0.038524167
"66",0.069450411
"67",0.062416514
"68",0.0681018
"69",0.087211848
"70",0.043070759
"71",0.070773578
"72",0.043071265
"73",0.01362
"74",0.04910844
"75",0.057786393
"76",0.023591514
"77",0.043071297
"78",0.019261872
"79",0.023590994
"80",0.050962443
"81",0.080578004
"82",0.043071423
"83",0.070772693
"84",0.019261872
"85",0.057785968
"86",0.070773309
"87",0.043071265
"88",0.066725856
"89",0.081722
"90",0.033362785
"91",0.0136204
"92",0.033363234
"93",0.019262579
"94",0.070773501
"95",0.04307136
"96",NA
"97",0.079419451
"98",0.043071202
"99",0.033363071
"100",0.056158736
"101",0.056158299
"102",0.069450411
"103",0.0408609
"104",0.079419451
"105",0.050962603
"106",0.030456319
"107",0.043071297
"108",0.03852445
"109",0.155892035
"110",0.091368138
"111",0.073348062
"112",0.103729338
"113",0.023591514
"114",0.057786298
"115",0.083961314
"116",0.082848278
"117",0.082849034
"118",0.060912638
"119",0.043071202
"120",0.0544813
"121",0.119517955
"122",0.074601693
"123",0.13956711
"124",0.06810156
"125",0.074601602
"126",0.033362744
"127",0.033362867
"128",0.0136204
"129",0.070773597
"130",0.079419674
"131",0.019262579
"132",0.019262508
"133",0.073347913
"134",0.057786416
"135",0.043071265
"136",0.050962683
"137",0.056158202
"138",0.03852445
"139",0.019262579
"140",0.059370016
"141",0.045173847
"142",0.043071297
"143",0.019262579
"144",0.113138962
"145",0.091367974
"146",0.087212145
"147",0.056157329
"148",0.040860867
"149",0.099157624
"150",0.141546714
"151",0.073347653
"152",0.207458649
"153",0.033362377
"154",0.043071582
"155",0.112316138
"156",0.126310091
"157",0.062416863
"158",0.073347913
"159",0.217072433
"160",0.139566592
"161",0.238258525
"162",0.320005853
"163",0.113955904
"164",0.019262508
"165",0.056158154
"166",0.146695882
"167",0.303645976
"168",0.230341664
"169",0.140229882
"170",0.125573211
