"","x"
"1",0.056156771
"2",0.233142455
"3",0.121824114
"4",0.166257515
"5",0.126310027
"6",0.126310555
"7",0.131349728
"8",0.04517442
"9",0.149823709
"10",0.145425871
"11",0.157666795
"12",0.387642357
"13",0.115572714
"14",0.263405136
"15",0.138901018
"16",0.597590325
"17",0.349382409
"18",0.252986754
"19",0.177587744
"20",0.37499292
"21",0.36292554
"22",0.311783879
"23",0.241353866
"24",0.567006118
"25",0.626239361
"26",0.25114755
"27",0.491277676
"28",0.214925406
"29",0.494476802
"30",0.368001774
"31",0.273426486
"32",0.783021819
"33",0.518647841
"34",0.222141278
"35",0.270013022
"36",0.662934492
"37",0.279798185
"38",0.596347683
"39",0.196907195
"40",0.402895645
"41",0.217071925
"42",0.239423918
"43",0.732339053
"44",0.271724909
"45",0.479041057
"46",0.577380306
"47",1.127201973
"48",0.987075827
"49",0.498772446
"50",0.366739231
"51",0.623121651
"52",0.134834374
"53",0.346984848
"54",0.433076127
"55",0.751345477
"56",0.499887337
"57",0.624459861
"58",0.172822761
"59",0.555102414
"60",0.567986251
"61",0.555269415
"62",0.644776241
"63",0.585199559
"64",1.006892664
"65",0.445324924
"66",0.358295308
"67",0.196906932
"68",0.689948042
"69",0.531193333
"70",0.542253765
"71",0.485197863
"72",0.381855642
"73",0.456433326
"74",0.398031225
"75",0.276127028
"76",0.104619939
"77",0.272747194
"78",0.67513605
"79",0.36292557
"80",0.5650398
"81",0.299957137
"82",0.427687821
"83",0.559264389
"84",0.228318662
"85",0.582179928
"86",0.442818399
"87",0.251883764
"88",0.204304793
"89",0.325180939
"90",0.313859114
"91",0.244028539
"92",0.809236317
"93",0.828717363
"94",0.853421195
"95",0.467477022
"96",0.356738324
"97",0.769037127
"98",0.655618072
"99",0.872234116
"100",0.43371757
"101",0.465688068
"102",0.260216451
"103",0.832736596
"104",0.964451536
"105",0.185257148
"106",0.322316411
"107",0.90110735
"108",0.519897836
"109",0.181718269
"110",0.261638278
"111",0.460883104
"112",0.616085621
"113",0.119517989
"114",0.676644556
"115",0.552254579
"116",0.55107742
"117",0.302114122
"118",0.6595688
"119",0.445533109
"120",0.672105683
"121",1.157809979
"122",0.708650773
"123",0.206562842
"124",0.398496731
"125",0.220042811
"126",0.434571896
"127",0.228318757
"128",0.352554138
"129",0.938223445
"130",0.285702386
"131",0.552422281
"132",0.317093866
"133",1.022342787
"134",1.31194369
"135",0.658722476
"136",0.898736094
"137",0.718917012
"138",0.838177491
"139",0.296536078
"140",0.424421891
"141",0.368253294
"142",0.73927266
"143",0.516497056
"144",0.499701154
"145",0.708781601
"146",0.96666086
"147",0.596969113
"148",0.223389517
"149",0.139566358
"150",0.330837247
"151",0.726234245
"152",0.531193482
"153",0.998010372
"154",0.775882551
"155",0.256264947
"156",0.386443571
"157",0.836293837
"158",0.993912822
"159",0.751221206
"160",0.821861257
"161",0.412226018
"162",0.361901504
"163",0.532762655
"164",0.780767943
"165",0.215786904
"166",0.42638475
"167",0.565695483
"168",0.601304136
"169",0.206562934
"170",0.372759813
"171",0.41781453
"172",0.599759581
"173",0.434785456
"174",0.462891644
"175",0.492974039
"176",0.505606612
"177",0.370012449
"178",0.804754427
"179",0.513435174
"180",0.616837799
"181",0.551750212
"182",0.89459845
"183",0.4024343
"184",0.509080335
"185",0.600841169
"186",0.473000986
"187",0.617740475
"188",0.32802105
"189",0.397097555
"190",0.517753196
"191",0.277133228
"192",0.522745169
"193",0.534154092
"194",0.625054413
"195",0.815744775
"196",0.912258443
"197",0.70681594
"198",0.574158568
"199",0.587256675
"200",0.237868892
"201",0.555770164
"202",0.467676054
"203",0.465688306
"204",0.724059913
"205",0.46027884
"206",1.156847505
"207",1.098192347
"208",0.356738698
"209",0.309694448
"210",0.708389091
"211",0.220043364
"212",0.470444716
"213",0.453580008
"214",0.350177967
"215",0.395459735
"216",0.454805268
"217",0.33639789
"218",0.302113284
"219",0.493537861
"220",0.589778517
"221",0.593540915
"222",0.175485515
"223",0.50926249
"224",0.279797814
"225",0.323751945
"226",0.50044302
"227",0.656748528
"228",0.810267526
"229",0.748747199
"230",1.026056408
"231",0.445324945
"232",0.107246736
"233",0.36572629
"234",0.310891001
"235",0.104619827
"236",0.245921821
"237",0.083960905
"238",0.150441669
"239",0.066725529
"240",0.096310286
"241",0.066725525
"242",0.091368057
"243",0.060911695
"244",0.069450383
"245",0.030455693
"246",0.146061921
"247",0.113956394
"248",0.043072214
"249",0.088270208
"250",0.057785523
