"","x"
"1",0.128494321
"2",0.057786416
"3",0.168474817
"4",0.129214365
"5",0.102831521
"6",0.056158328
"7",0.030456042
"8",0.097268874
"9",0.097268893
"10",0.060911963
"11",0.06810223
"12",0.0953426
"13",0.152888067
"14",0.212756912
"15",0.146695863
"16",0.247050765
"17",0.03852445
"18",0.030456096
"19",0.047182334
"20",0.045173575
"21",0.023591052
"22",0.040861
"23",0.040861133
"24",0.0272405
"25",0.040861167
"26",0.033362867
"27",0.043071423
"28",0.073348247
"29",0.019262084
"30",0.030456319
"31",0.060912102
"32",0.086142562
"33",0.0408611
"34",0.06810178
"35",0.12408708
"36",0.078243171
"37",0.056158299
"38",0.019261872
"39",0.023591514
"40",0.089314798
"41",0.049108884
"42",0.019261872
"43",0.070773193
"44",0.019261872
"45",0.05096295
"46",0.05096271
"47",0.038524309
"48",0.092378313
"49",0.062416558
"50",0.05615813
"51",0.087213051
"52",0.074601821
"53",0.045173214
"54",0.019262437
"55",0.05096271
"56",0.049108607
"57",0.049109162
"58",0.060911968
"59",0.060912281
"60",0.05096295
"61",0.057786039
"62",0.05096271
"63",0.177064446
"64",0.087212582
"65",0.05096287
"66",0.080578866
"67",0.050962603
"68",0.033363193
"69",0.080578934
"70",0.062416689
"71",0.070773463
"72",0.0681018
"73",0.08396146
"74",0.083961492
"75",0.056158105
"76",0.062415925
"77",0.079419486
"78",0.033363193
"79",0.033363193
"80",0.033362989
"81",0.05937036
"82",0.080579373
"83",0.050962603
"84",0.060911833
"85",0.0136205
"86",0.03045614
"87",0.033362744
"88",0.05778618
"89",0.083961671
"90",0.063885744
"91",0.030456319
"92",0.063885104
"93",0.090347452
"94",0.030455827
"95",0.080579018
"96",0.030455917
"97",0.100088641
"98",0.045173515
"99",0.0136204
"100",0.0544812
"101",0.152888219
"102",0.136204
"103",0.01926173
"104",0.0408612
"105",0.078243311
"106",0.030456096
"107",0.043071107
"108",0.030456319
"109",0.057786086
"110",0.073347449
"111",0.050962683
"112",0.073347597
"113",0.0408606
"114",0.063884998
"115",0.073348322
"116",0.095342486
"117",0.122583333
"118",0.049108912
"119",0.057785992
"120",0.057786039
"121",0.06091161
"122",0.040861267
"123",0.045173666
"124",0.030455738
"125",0.043071265
"126",0.063884614
"127",0.050962122
"128",0.056158348
"129",0.087212645
"130",0.040861267
"131",0.073347839
"132",0.045173786
"133",0.043070981
"134",0.069450411
"135",0.019262508
"136",0.091368063
"137",0.043071297
"138",0.049108995
"139",0.030455872
"140",0.043071487
"141",0.070773501
"142",0.030456319
"143",0.062416776
"144",0.056158057
"145",0.030455961
"146",0.060912012
"147",0.045173364
"148",0.05096271
"149",0.099157652
"150",0.077048405
"151",0.049108995
"152",0.033362336
"153",0.05778618
"154",0.019261872
"155",0.043071297
"156",0.164575348
"157",0.117955801
"158",0.125573439
"159",0.060911654
"160",0.187248611
