"","x"
"1",0.099157597
"2",0.087212795
"3",0.033362361
"4",0.04086105
"5",0.14285176
"6",0.08396133
"7",0.189709681
"8",0.16513812
"9",0.104619444
"10",0.102831447
"11",0.056158033
"12",0.038524167
"13",0.106377931
"14",0.099157679
"15",0.119517249
"16",0.128493388
"17",0.101925179
"18",0.045173666
"19",0.056158736
"20",0.038524167
"21",0.069450391
"22",0.019261872
"23",0.049108912
"24",0.166257138
"25",0.091367497
"26",0.030455872
"27",0.013621
"28",0.081722467
"29",0.118738954
"30",0.069450097
"31",0.04307117
"32",0.06810156
"33",0.0272405
"34",0.01362
"35",0.040861333
"36",0.069450254
"37",0.056157693
"38",0.04307117
"39",0.023590994
"40",0.090347181
"41",0.063885104
"42",0.050962523
"43",0.045173364
"44",0.033362785
"45",0.038524309
"46",0.045173575
"47",0.049108746
"48",0.019262013
"49",0.030456096
"50",0.040860667
"51",0.019261872
"52",0.056158154
"53",0.073347913
"54",0.049108884
"55",0.040861
"56",0.049108884
"57",0.126309865
"58",0.080578917
"59",0.049108995
"60",0.073347653
"61",0.050962523
"62",0.05096279
"63",0.116372304
"64",0.0681024
"65",0.110651816
"66",0.0136204
"67",0.043070854
"68",0.073347653
"69",0.0136204
"70",0.030456409
"71",0.0272407
"72",0.0136204
"73",0.11716639
"74",0.119517818
"75",0.056158154
"76",0.057786487
"77",0.03045538
"78",0.033363153
"79",0.040860667
"80",0.040860667
"81",0.100088968
"82",0.062416841
"83",0.03852438
"84",0.033362377
"85",0.095341914
"86",0.104619444
"87",0.088269386
"88",0.057786416
"89",0.03045538
"90",0.023590936
"91",0.023590878
"92",0.030456319
"93",0.15469754
"94",0.155891808
"95",0.019262225
"96",0.030456096
"97",0.030456051
"98",0.087211755
"99",0.073348043
"100",0.013621
"101",0.0136203
"102",0.106378737
"103",0.030456051
"104",0.045173726
"105",0.038524097
"106",0.019262084
"107",0.019262084
"108",0.069450391
"109",0.05778618
"110",NA
"111",0.030456096
"112",0.033363234
"113",0.070773597
"114",0.045173394
"115",0.088269787
"116",0.033363275
"117",0.082849034
"118",0.080578427
"119",0.06945094
"120",0.07334808
"121",0.074602021
"122",0.08721277
"123",0.049108829
"124",0.030455783
"125",0.080578917
"126",0.043071487
"127",0.06241647
"128",0.073346669
"129",0.0544805
"130",0.057786275
"131",0.030455425
"132",0.063884486
"133",0.030456319
"134",0.063885062
"135",0.047181815
"136",0.09726865
"137",0.030455872
"138",0.033363193
"139",0.0136204
"140",0.107246832
"141",0.086142183
"142",0.045173606
"143",0.079419709
"144",0.060911833
"145",0.019262084
"146",0.030456006
"147",NA
"148",0.073347802
"149",0.038524097
"150",0.059369741
"151",0.049108746
"152",0.023590878
"153",0.080578866
"154",0.074601529
"155",0.019261801
"156",0.0136203
"157",0.033363275
"158",0.045173847
"159",0.023591571
"160",0.074601839
"161",0.073347523
"162",0.070773001
"163",0.040861
"164",0.045173575
"165",0.045173575
"166",0.126309326
"167",0.144786377
"168",0.04086
"169",0.05936903
"170",0.043070317
"171",0.03045614
"172",0.056158154
"173",0.057785898
"174",0.06091161
"175",0.074601894
"176",0.070773405
"177",0.030456319
"178",0.07460109
"179",0.050961908
"180",0.033362867
"181",0.038524167
"182",0.07334756
"183",0.126309142
"184",0.106378417
"185",0.12408719
"186",0.129213385
"187",0.126309822
"188",0.107246667
"189",0.069449803
"190",0.100088274
"191",0.063885104
"192",0.113955904
"193",0.043071265
"194",0.292441459
"195",0.2811209
"196",0.214925222
"197",0.159421635
"198",0.204304967
"199",0.121824069
"200",0.080579221
"201",0.146695678
"202",0.178109153
"203",0.166257695
"204",0.22545694
"205",0.0681014
"206",0.109810704
"207",0.033362826
"208",0.232345991
"209",0.198782598
"210",0.162305294
