"","x"
"1",0.313859118
"2",0.361901602
"3",0.183243369
"4",0.11313889
"5",0.247050759
"6",0.189220666
"7",0.205663252
"8",0.074601821
"9",0.165698759
"10",0.233142689
"11",0.06810164
"12",0.178109299
"13",0.17066254
"14",0.128494088
"15",0.381612845
"16",0.449471745
"17",0.664193255
"18",0.287644373
"19",0.785151368
"20",0.264810698
"21",0.221723127
"22",0.376227697
"23",0.268635158
"24",0.301191167
"25",0.5493914
"26",0.311485798
"27",0.55158172
"28",0.629490186
"29",0.123337526
"30",0.185756522
"31",0.315627515
"32",0.324896335
"33",0.157667348
"34",0.254813405
"35",0.543791281
"36",0.688871723
"37",0.335015701
"38",0.503031549
"39",0.511443532
"40",0.131349987
"41",0.571405744
"42",0.217072038
"43",0.54719184
"44",0.370763699
"45",0.526457624
"46",0.444699578
"47",0.548546645
"48",0.149203568
"49",0.30638189
"50",0.860241125
"51",0.361901414
"52",0.448024547
"53",0.271725741
"54",0.489575246
"55",0.639141153
"56",0.261638161
"57",0.19406013
"58",0.312081793
"59",0.53014473
"60",0.290851385
"61",0.134834818
"62",0.397331524
"63",0.656890441
"64",1.58072367
"65",1.746647181
"66",1.09709313
"67",0.60130439
"68",0.384036146
"69",0.211444967
"70",0.673208694
"71",0.522211584
"72",0.349116127
"73",0.374001315
"74",0.273086345
"75",0.210124091
"76",0.605148185
"77",0.453784343
"78",0.305169471
"79",0.421350799
"80",1.497060911
"81",0.636813846
"82",0.489953941
"83",0.264109025
"84",0.432003616
"85",0.779697812
"86",0.652924848
"87",1.391009955
"88",0.36749652
"89",0.459471731
"90",0.452761306
"91",0.819261518
"92",0.73537272
"93",0.358554479
"94",0.339417628
"95",1.190671452
"96",1.170794911
"97",0.594633345
"98",0.435212051
"99",0.583453261
"100",0.686038409
"101",0.451941061
"102",0.906546436
"103",1.006985161
"104",0.66530931
"105",0.441139065
"106",0.803715587
"107",0.395928117
"108",0.914188514
"109",0.698499652
"110",0.507620941
"111",0.304864003
"112",0.27274715
"113",0.468072642
"114",0.324897186
"115",0.357777908
"116",0.381855546
"117",0.657313961
"118",0.572217128
"119",1.100301689
"120",0.512711442
"121",0.593853527
"122",0.737640262
"123",0.358295453
"124",0.30849405
"125",0.602382895
"126",0.263052582
"127",0.316800944
"128",0.201101976
"129",0.267250558
"130",0.313859813
"131",1.155243008
"132",0.995031326
"133",0.622525681
"134",0.600532392
"135",0.641603761
"136",0.816653161
"137",0.571567965
"138",0.239036457
"139",0.541226984
"140",0.549898184
"141",0.493725838
"142",0.864006929
"143",0.580904019
"144",0.450501735
"145",0.211444773
"146",0.997637875
"147",0.151057237
"148",0.865080242
"149",0.547531373
"150",0.223805225
"151",0.863254899
"152",0.681833934
"153",0.161732295
"154",0.187248509
"155",0.410648479
"156",0.51216855
"157",0.378685346
"158",0.674585325
"159",1.503491408
"160",0.372759795
"161",0.308794909
"162",0.442190223
"163",0.128493791
"164",0.402664645
"165",0.378929545
"166",0.490899965
"167",0.576255061
"168",0.312378294
"169",0.284075011
"170",0.553093583
"171",0.665866484
"172",1.290271933
"173",0.833182863
"174",0.377703809
"175",0.53154291
"176",0.265858946
"177",0.293707611
"178",0.311188289
"179",0.261992029
"180",0.654485668
"181",0.365979598
"182",0.598054998
"183",0.610489304
"184",0.229938183
"185",0.796761034
"186",0.752701366
"187",0.374249201
"188",0.098218434
"189",0.513434659
"190",0.367749219
"191",0.158838731
"192",0.425730877
"193",0.0972683
"194",0.378684824
"195",0.291805552
"196",0.137558723
"197",0.196435398
"198",1.219610741
"199",0.896359782
"200",0.663634275
"201",1.199983182
"202",0.765167803
"203",0.327738679
"204",0.56896574
"205",0.435424906
"206",0.483282141
"207",0.339417385
"208",0.247051448
"209",0.166257941
"210",0.033362663
"211",0.248921018
"212",0.047182444
"213",0.062416086
"214",0.074601547
"215",0.166257588
"216",0.185757043
"217",0.157077516
"218",0.069450389
"219",0.156485983
"220",0.040860547
"221",0.142200614
"222",0.038524238
"223",0.156485786
"224",0.074601961
"225",0.083961603
"226",0.073347798
"227",0.062416252
"228",0.087212879
"229",0.25335294
"230",0.082849231
"231",0.233540662
"232",0.308493944
"233",0.107246908
"234",0.112315435
"235",0.080579289
"236",0.077047911
"237",0.04718193
"238",0.050963512
"239",0.069450823
"240",0.07334769
