"","x"
"1",0.060912102
"2",0.062416339
"3",0.082849198
"4",0.087212426
"5",0.030455425
"6",0.251884607
"7",0.146695789
"8",0.117166669
"9",0.0681019
"10",0.366738923
"11",0.376720338
"12",0.122583378
"13",0.080579221
"14",0.294338422
"15",0.288610455
"16",0.152280192
"17",0.183749138
"18",0.166814914
"19",0.226687637
"20",0.208351455
"21",0.206562723
"22",0.366991943
"23",0.604534785
"24",0.173358604
"25",0.087212739
"26",0.476712403
"27",0.297784039
"28",0.1770647
"29",0.451118993
"30",0.299647609
"31",0.254449053
"32",0.195014345
"33",0.225045379
"34",0.043071329
"35",0.129929748
"36",0.32461001
"37",0.191655199
"38",0.287644103
"39",0.638269758
"40",0.453580104
"41",0.213627072
"42",0.452965966
"43",0.372261265
"44",0.449677293
"45",0.446988033
"46",0.2562645
"47",0.31474505
"48",0.453580182
"49",0.476517091
"50",0.251146226
"51",0.069450019
"52",0.544984167
"53",0.465887326
"54",0.486152719
"55",0.314745093
"56",0.594789689
"57",0.267597363
"58",0.749119145
"59",0.553261166
"60",0.356218207
"61",0.376966091
"62",0.529269413
"63",0.128493484
"64",0.353343233
"65",0.751097736
"66",0.629784376
"67",0.579625643
"68",0.333906587
"69",0.819148255
"70",0.39733138
"71",1.094892831
"72",1.318432485
"73",1.267278123
"74",0.480588042
"75",0.877852287
"76",0.328303932
"77",0.679107362
"78",0.827821211
"79",0.345646112
"80",0.803023292
"81",0.552422513
"82",0.478072094
"83",0.321451754
"84",0.602690554
"85",0.374002227
"86",0.267250898
"87",0.231545796
"88",0.12921388
"89",0.267597367
"90",0.438397516
"91",0.486152617
"92",0.75245469
"93",0.483281884
"94",0.554433183
"95",0.833627523
"96",0.17066231
"97",0.461084632
"98",0.585833568
"99",0.587098657
"100",0.247800472
"101",0.270013193
"102",0.271041864
"103",0.359844969
"104",0.455212988
"105",0.546174257
"106",0.318553125
"107",0.244028628
"108",0.527865508
"109",0.559264113
"110",0.313563801
"111",0.210125265
"112",0.553261266
"113",0.413798872
"114",0.33139732
"115",0.516317171
"116",0.475933467
"117",0.725211248
"118",0.07334782
"119",0.327738033
"120",0.476906843
"121",0.391214792
"122",0.657455362
"123",0.731198311
"124",0.367749459
"125",0.555102487
"126",0.089314539
"127",0.223390316
"128",0.234728568
"129",0.101925153
"130",0.242503508
"131",0.563065811
"132",0.349912932
"133",0.39357915
"134",0.352554412
"135",0.030456274
"136",0.277133085
"137",0.20430532
"138",0.273087027
"139",0.08931448
"140",0.099157349
"141",0.26620716
"142",0.410648326
"143",0.17810913
"144",0.1460618
"145",0.241353223
"146",0.217072546
"147",0.030456051
"148",0.166257433
"149",0.117955893
"150",0.04307117
"151",0.119517727
"152",0.157667304
"153",0.345645395
"154",0.746141781
"155",0.079419451
"156",0.342951519
"157",0.483858182
"158",0.147954845
"159",0.556437461
"160",0.55124564
"161",0.656750058
"162",0.917328324
"163",1.020526609
"164",0.404961998
"165",0.68454953
"166",0.202938688
"167",0.142851598
"168",0.401049092
"169",0.142851274
"170",0.164010903
"171",0.086143542
"172",0.117955316
"173",0.113138697
"174",0.040861
"175",0.054481
"176",0.062416278
"177",0.045173518
"178",0.062415942
"179",0.089314461
"180",0.125573342
"181",0.056158712
"182",0.081722113
"183",0.131349883
"184",0.073347802
"185",0.096309782
"186",0.164575406
"187",0.357517433
"188",0.254449075
"189",0.174425883
"190",0.104619913
"191",0.126309833
"192",0.049108357
"193",0.0272406
"194",0.096310093
"195",0.099157665
"196",0.057786251
"197",0.049108884
"198",0.0408613
"199",0.066726264
"200",0.0272406
