"","x"
"1",0.11313913
"2",0.100087825
"3",0.146061576
"4",0.157077214
"5",0.167922823
"6",0.324896105
"7",0.109810642
"8",0.201102749
"9",0.117166809
"10",0.2451664
"11",0.145425477
"12",0.095342343
"13",0.117167216
"14",0.074601711
"15",0.286675278
"16",0.337499064
"17",0.524162253
"18",0.24478735
"19",0.211882978
"20",0.448231755
"21",0.360874656
"22",0.132054079
"23",0.43371778
"24",0.385482278
"25",0.275791285
"26",0.5658593
"27",0.390977918
"28",0.178109061
"29",0.179148065
"30",0.142851617
"31",0.902958095
"32",1.028764341
"33",0.259144659
"34",0.37300864
"35",0.132054151
"36",0.368001629
"37",0.84807834
"38",0.611551984
"39",0.412676531
"40",0.326320421
"41",0.768675258
"42",0.360617431
"43",0.816766392
"44",0.684548525
"45",0.283420377
"46",0.536060616
"47",0.252986792
"48",0.415364722
"49",0.400355177
"50",0.324895849
"51",0.372759667
"52",0.628900374
"53",0.71594352
"54",0.218350899
"55",0.765289342
"56",1.094808834
"57",1.345798618
"58",0.839172792
"59",0.250036108
"60",0.250406914
"61",0.336673265
"62",0.626832383
"63",0.474371665
"64",1.21068006
"65",0.970491861
"66",0.549053585
"67",1.22454386
"68",1.105179431
"69",0.64477608
"70",0.781717731
"71",0.329995086
"72",0.821410054
"73",0.587572035
"74",0.297472694
"75",0.371014073
"76",0.760913439
"77",0.360102232
"78",0.746017294
"79",0.331957018
"80",0.574320106
"81",0.261638518
"82",0.865401568
"83",0.927885053
"84",0.499515548
"85",0.291169791
"86",0.5068893
"87",0.529969876
"88",0.366991902
"89",0.290212337
"90",0.737388031
"91",0.235123563
"92",0.175485833
"93",0.386443371
"94",0.313563766
"95",0.308494151
"96",0.513434702
"97",0.104619809
"98",0.582976289
"99",0.302421436
"100",0.532065841
"101",0.639576725
"102",0.965797436
"103",0.589464032
"104",0.692632036
"105",0.267250333
"106",0.588834025
"107",0.6687855
"108",0.61728882
"109",0.432646903
"110",0.641603487
"111",0.420469513
"112",0.583771472
"113",2.708018374
"114",3.077505729
"115",4.187586715
"116",2.701914376
"117",0.495226493
"118",2.515528124
"119",2.684487398
"120",0.907262098
"121",1.450742611
"122",5.701185196
"123",3.865252033
"124",1.324330017
"125",1.945375506
"126",0.728147643
"127",0.684956236
"128",0.737766162
"129",0.50303143
"130",0.388359094
"131",0.257349234
"132",0.387402251
"133",0.695305198
"134",0.615633708
"135",0.393814584
"136",0.566351586
"137",0.202938752
"138",0.731959422
"139",0.263405426
"140",0.504320913
"141",0.447610194
"142",0.510172658
"143",0.367749515
"144",0.207905728
"145",0.257709111
"146",0.179147814
"147",0.488817621
"148",0.689814318
"149",0.519897815
"150",0.380639312
"151",0.561581111
"152",0.4362766
"153",0.312081584
"154",0.42768771
"155",0.607443094
"156",0.66209469
"157",0.392161906
"158",0.254813753
"159",0.339144486
"160",0.378684134
"161",0.480587415
"162",0.981421333
"163",0.975924454
"164",0.273766234
"165",0.390978092
"166",0.126310135
"167",0.567169108
"168",0.527865371
"169",0.640591301
"170",0.46668378
"171",0.172285282
"172",0.288609799
"173",0.761400747
"174",0.575611014
"175",0.319134971
"176",0.220043405
"177",0.434145205
"178",0.618339432
"179",0.896152273
"180",0.430712982
"181",0.611248965
"182",0.300265937
"183",0.189709337
"184",0.286351556
"185",0.694103332
"186",0.245922282
"187",0.499330497
"188",0.189709114
"189",0.404274225
"190",0.78927549
"191",0.884168939
"192",0.26480951
"193",0.353604895
"194",0.695305029
"195",0.467278791
"196",0.215786866
"197",0.574804508
"198",0.521501014
"199",0.306382059
"200",0.568476223
"201",0.102831738
"202",0.356738733
"203",0.147954771
"204",0.378684875
"205",0.272747553
"206",0.270356485
"207",0.281120963
"208",0.590721268
"209",0.451119832
"210",0.457449255
"211",0.44260874
"212",0.454193157
"213",0.45744888
"214",0.475348289
"215",0.203850519
"216",0.142201093
"217",0.468072389
"218",0.380883106
"219",0.222974947
"220",0.37051457
"221",0.314744664
"222",0.526986152
"223",0.536752443
"224",0.316800944
"225",0.473784502
"226",0.681697887
"227",0.255903008
"228",0.5128921
"229",1.105180349
"230",1.128929051
"231",0.423984802
"232",0.273087074
"233",0.569617068
"234",0.374249968
"235",0.720463134
"236",0.620136779
"237",0.32489608
"238",0.263052333
"239",0.270698858
"240",0.63316303
"241",0.518468873
"242",0.307289184
"243",0.533979995
"244",0.800825738
"245",0.297472987
"246",0.587098283
"247",0.417813651
"248",0.687659001
"249",0.525928461
"250",0.387402431
"251",0.372013711
"252",0.8449011
"253",0.420249026
"254",0.524162312
"255",0.32999483
"256",0.321162964
"257",0.134834192
"258",0.645925779
"259",0.605914231
"260",0.580744564
"261",0.370763826
"262",0.350178059
"263",0.132054163
"264",0.142851388
"265",0.256627055
"266",0.109810823
"267",0.100089274
"268",0.229938014
"269",0.06241613
"270",0.140890068
"271",0.209682789
"272",0.063885083
"273",0.063885296
"274",0.056158178
"275",0.107246699
"276",0.112316502
"277",0.10981094
"278",0.313859558
"279",0.117955798
"280",0.139567096
"281",0.050962304
"282",0.07334743
"283",0.0272405
"284",0.099157336
"285",0.079419554
"286",0.073347653
"287",0.113139323
"288",0.118739321
"289",0.069450921
"290",0.091367854
