"","x"
"1",0.066725529
"2",0.070773405
"3",0.019262508
"4",0.056158202
"5",0.066726183
"6",0.030455335
"7",0.060912191
"8",0.060912102
"9",0.056156771
"10",0.033362663
"11",0.078242893
"12",0.023591571
"13",0.045173575
"14",0.079419486
"15",0.059369741
"16",0.077048618
"17",0.1000886
"18",0.045173425
"19",0.059368961
"20",0.074601529
"21",0.142200614
"22",0.0136204
"23",0.07460162
"24",0.033362744
"25",0.062415903
"26",0.063884806
"27",0.030456096
"28",0.057785898
"29",0.057786298
"30",0.062416143
"31",0.033362295
"32",0.033363234
"33",0.0408612
"34",0.057786086
"35",0.049108524
"36",0.045173214
"37",0.081722
"38",0.023591456
"39",0.05096295
"40",0.023590417
"41",0.07824258
"42",0.060911923
"43",0.040860667
"44",0.1498238
"45",0.040861
"46",0.056158251
"47",0.040861
"48",0.023590878
"49",0.043071265
"50",0.049108773
"51",0.056158057
"52",0.04718193
"53",0.033363193
"54",0.043071265
"55",0.049108829
"56",0.030455335
"57",0.0272407
"58",0.049108052
"59",0.01362
"60",NA
"61",0.050962603
"62",0.01362
"63",0.132053759
"64",0.088269987
"65",0.059369397
"66",0.069450352
"67",0.097268776
"68",0.062416427
"69",0.079419228
"70",0.033361969
"71",0.097268832
"72",0.050962817
"73",0.05778611
"74",0.059370291
"75",0.023590936
"76",0.062416383
"77",0.060912236
"78",NA
"79",0.060911699
"80",0.070773655
"81",0.023590243
"82",0.049108746
"83",0.0408609
"84",0.106377393
"85",0.056158105
"86",0.033363112
"87",0.050962977
"88",0.132054286
"89",0.049108884
"90",0.04307117
"91",0.04307117
"92",0.04910869
"93",0.049108829
"94",0.069450391
"95",0.040860533
"96",0.062414986
"97",0.050962256
"98",0.04307136
"99",0.074601802
"100",0.110652283
"101",0.049108829
"102",0.04910844
"103",0.074601437
"104",0.147326514
"105",0.109810865
"106",0.124087321
"107",0.057785756
"108",0.0136203
"109",0.073347449
"110",0.074601748
