"","x"
"1",0.543450709
"2",0.460279375
"3",0.219621396
"4",0.504872273
"5",0.451735874
"6",0.183748716
"7",0.340781072
"8",0.201102037
"9",0.569128843
"10",0.459270445
"11",0.59556912
"12",0.509262327
"13",0.355437258
"14",0.933366814
"15",0.393106924
"16",0.308493798
"17",0.155295261
"18",0.338323017
"19",0.313563662
"20",0.287644255
"21",0.239424066
"22",0.397332032
"23",0.634626268
"24",0.706422399
"25",0.204758752
"26",0.320584888
"27",0.762739671
"28",0.744398962
"29",0.485197907
"30",0.446988289
"31",0.246674831
"32",0.377704008
"33",0.145425871
"34",0.475152712
"35",0.528918653
"36",1.543492798
"37",1.339649782
"38",0.776837522
"39",0.745519421
"40",1.218621651
"41",0.532588643
"42",0.512530568
"43",0.567986218
"44",0.317094848
"45",0.320006041
"46",0.338870376
"47",0.278135513
"48",0.423108333
"49",0.607137936
"50",0.335016929
"51",0.371763028
"52",0.208350546
"53",0.98538311
"54",0.72444363
"55",0.764804194
"56",0.228318483
"57",0.974021756
"58",0.451324994
"59",0.363946006
"60",0.260216215
"61",0.110652333
"62",0.336122214
"63",0.206562769
"64",0.320295899
"65",0.43028191
"66",0.985383847
"67",0.820506564
"68",0.432003408
"69",0.684549579
"70",0.768795827
"71",0.433503123
"72",0.450502119
"73",0.614578276
"74",0.26021633
"75",0.643480988
"76",0.104619509
"77",0.29622367
"78",0.191170583
"79",0.357776849
"80",0.608358638
"81",0.541569568
"82",0.513434863
"83",0.300884027
"84",0.523099266
"85",0.519183428
"86",0.365979281
"87",0.889086958
"88",1.499847985
"89",0.800941329
"90",0.502478166
"91",0.351500919
"92",0.765167861
"93",0.420469504
"94",0.707864837
"95",0.090347302
"96",0.638560466
"97",0.619687984
"98",0.537442932
"99",0.494288747
"100",1.331314888
"101",0.75319453
"102",0.309993711
"103",0.337498346
"104",0.736759134
"105",0.529094183
"106",0.456840563
"107",0.257349016
"108",0.349647857
"109",0.61758882
"110",0.616987967
"111",0.758104167
"112",1.136381121
"113",1.170003584
"114",0.64607005
"115",0.401742506
"116",0.760425211
"117",0.55158214
"118",0.848843982
"119",0.456026813
"120",0.321163668
"121",0.326320229
"122",0.246675118
"123",0.083961395
"124",0.177586594
"125",1.0161541
"126",1.103332243
"127",0.834072628
"128",0.835295252
"129",0.724059748
"130",0.436913898
"131",0.379418817
"132",0.762496151
"133",0.465688455
"134",0.513072881
"135",0.473588825
"136",0.166814163
"137",0.49503933
"138",0.551077128
"139",0.896152727
"140",0.7668633
"141",0.644345167
"142",0.694103391
"143",0.394049034
"144",0.666840478
"145",0.522034281
"146",0.619538581
"147",0.574320265
"148",0.343222258
"149",0.253353478
"150",0.286027429
"151",0.527337998
"152",1.046287297
"153",1.008365518
"154",0.416034426
"155",0.56191187
"156",0.06810134
"157",1.116951348
"158",0.355436308
"159",0.248548231
"160",0.256627097
"161",0.473784617
"162",0.17914808
"163",0.4379741
"164",0.801635754
"165",0.946491728
"166",0.330556817
"167",0.196907424
"168",0.777195697
"169",0.657455262
"170",0.413350535
"171",0.572864728
"172",0.164575188
"173",0.200177806
"174",0.242504024
"175",0.187743866
"176",0.542937905
"177",0.432647173
"178",0.270699165
"179",0.117955794
"180",0.404961577
"181",0.543961988
"182",0.187248676
"183",0.157666682
"184",0.39896228
"185",0.288930742
"186",0.180694573
"187",0.123336863
"188",0.246675019
"189",0.168474098
"190",0.196906843
"191",0.24173715
"192",0.154696959
"193",0.28374812
"194",0.187248866
"195",0.091368153
"196",0.852115659
"197",0.27069909
"198",0.253353074
"199",0.42245054
"200",0.62904784
"201",0.698233905
"202",0.576898522
"203",0.520610979
"204",0.696637932
"205",0.264459141
"206",0.13956711
"207",0.187248822
"208",0.142851596
"209",0.0953424
"210",0.123337537
"211",0.091368269
"212",0.059369527
"213",0.19068486
"214",0.096309853
"215",0.123337316
"216",0.063884678
"217",0.123337272
"218",0.330556533
"219",0.331676866
"220",0.196907341
"221",0.0817223
"222",0.078243137
"223",0.170662468
"224",0.07334756
"225",0.095342
"226",0.0136204
"227",0.081722433
"228",0.079418885
"229",0.043071423
"230",0.06810134
